delta_encoder,mag_orient
0.0,1.562303540358916
0.0,1.550288663366623
0.0,1.5367838293464688
0.0,1.5252839260622855
0.0,1.5213276298433087
0.0,1.707058275614432
0.0,1.709011589111862
0.0,1.7102183917784897
0.0,1.7076938614261683
0.0,1.6860877803225471
0.0,1.66073229179444
0.0,1.6441442756848654
0.0,1.8266769249102055
0.0,1.8081126480016687
0.0,1.7897619630164454
0.0,1.784020403310417
0.0,1.772524995997375
0.0,1.7513933849983148
0.0,1.736174267365835
0.0,1.9066643627600735
0.0,1.8967465499556906
0.0,1.8958499454066957
0,1.8978544794861665
0.0,1.896142508255386
0.0,1.8889854513199054
0.0,1.8806227430461462
0.0,2.0400216296459015
0.0,2.022400106820062
0.0,2.0053918183963444
0.0,1.984342645237063
0.0,1.9606167898541067
0.0,1.9688312486428552
0.0,1.9657813330808758
0.0,2.0331316944443554
0.0,2.0307354432715763
0.0,2.042546825321397
0.0,2.0365439165373944
0.0,2.039184225643827
0.0,2.07808057934899
-0.49669449068613336,2.0697746301778213
-0.7450417360292001,2.107933254176919
-1.9867779627445334,2.1006464030919356
-2.4834724534306662,2.1023868647940005
-2.9801669441167995,2.034573477651121
-3.7252086801459985,2.048109096871511
-4.221903170832132,2.0195431604451146
-4.470250416175199,2.018252364059947
-4.9669449068613325,2.2688775730589055
-4.9669449068613325,2.24895789217329
-4.9669449068613325,2.1291135829911396
-5.215292152204398,2.2046500586139555
-4.9669449068613325,2.2886665268680413
-4.470250416175201,2.220607327123523
-4.221903170832135,2.2848636672680125
-3.9735559254890696,2.256183456331348
-3.9735559254890696,2.2411404566656254
-3.9735559254890696,2.2049961804049643
-3.9735559254890696,2.2271881975450687
-3.9735559254890696,2.2062630648695376
-3.9735559254890696,2.2118521863409195
-3.9735559254890696,2.214694364628888
-3.9735559254890696,2.231397994762369
-3.9735559254890696,2.218952988338898
-3.9735559254890696,2.22827590748512
-3.9735559254890696,2.2193653623190306
-3.9735559254890696,2.2127547087497574
-3.9735559254890696,2.2089183458964863
-3.725208680146004,2.219417698421334
-3.725208680146004,2.241493133412698
-3.476861434802938,2.2176480484766077
-2.980166944116803,2.1705028861667124
-2.980166944116803,2.171140679638007
-1.2417362267153358,2.15738832129397
-0.2483472453430693,2.1655458735286297
0.993388981372263,2.185478459198036
2.4834724534306645,2.1794450207492266
3.7252086801459967,2.2072549862007147
4.718597661518263,2.201772874818378
5.71198664289053,2.3240210887382324
6.208681133576662,2.283038543582922
7.450417360291994,2.2510756227310913
7.9471118509781284,2.3027711233067816
7.9471118509781284,2.279717914976288
8.195459096321196,2.204774975420639
7.94711185097813,2.186571447446002
7.698764605635063,2.1074326845665987
7.450417360291993,2.2802855919922176
6.208681133576661,2.2971132425644836
5.215292152204395,2.199078549967011
3.9735559254890624,2.06928904869038
3.2285141894598617,2.141422162232903
1.986777962744526,2.110438420503295
1.4900834720583944,2.0612721925999375
0.993388981372263,2.0685819876101026
0.993388981372263,1.9356640009359478
0.4966944906861315,2.024626348663116
0.4966944906861315,1.9830181336028516
0.2483472453430693,2.0702559462455077
0.2483472453430693,2.0575556069510568
0.0,2.073227010037053
0.2483472453430693,2.080520344570738
7.105427357601002e-15,2.073474745634439
7.105427357601002e-15,2.1252649144680795
-0.24834724534306218,2.108643307255481
-0.24834724534306218,2.0635846991509235
-0.24834724534306218,2.0691726795425263
-0.24834724534306218,2.058324249331775
-0.24834724534306218,2.0333600150604445
-0.24834724534306218,2.0545483313295363
-0.24834724534306218,2.0483704219612657
-0.24834724534306218,2.0329416346688753
-0.24834724534306218,2.0767021552454836
-0.24834724534306218,2.0610995235499447
-0.24834724534306218,2.059663458346652
7.105427357601002e-15,2.0868611525895604
7.105427357601002e-15,2.11806290503235
7.105427357601002e-15,2.065464234518342
7.105427357601002e-15,2.052168485050289
-0.24834724534306218,2.040221779030863
-0.7450417360291937,2.0080731588174143
-1.2417362267153251,1.9909023518992153
-1.4900834720583944,2.011887364327672
-1.7384307174014637,2.0092569093337116
-2.2351252080875987,2.0261650490314347
-2.73181969877373,2.082440970223785
-3.2285141894598652,2.1071552725853646
-3.4768614348029327,2.1432502709589354
-3.973555925489066,2.056735742732751
-3.973555925489065,1.9683171672904176
-3.725208680145998,2.0090064508761984
-4.221903170832132,2.1050975194471153
-3.7252086801459976,2.2948792881791857
-3.7252086801459976,2.3617804558534434
-3.725208680145997,2.3474500645856593
-2.9801669441167973,2.2993586970571767
-2.2351252080875974,2.332021203212533
-1.4900834720583975,2.386847883579619
-0.9933889813722638,2.382458348683036
2.6645352591003757e-15,2.1792847622751768
1.2417362267153358,2.215998110699644
1.4900834720584024,2.242362990000605
1.4900834720584033,2.2980420529357724
1.9867779627445366,2.2234664682336196
1.9867779627445366,2.219503529707122
1.7384307174014708,2.212963262176511
1.2417362267153358,2.2190332880677737
0.7450417360292043,2.2152781193988313
0.2483472453430693,2.1642147675138084
0.0,2.1149099600265147
0.0,2.1777604992245476
-0.7450417360292008,2.1609070431055715
-0.9933889813722665,2.1897696392898065
-0.9933889813722665,2.221146830659511
-0.9933889813722665,2.248838698982422
-0.9933889813722665,2.2083358623309475
-0.9933889813722665,2.2620816661337173
-0.9933889813722665,2.2253810010025203
-0.9933889813722665,2.2238658460128953
-0.7450417360292008,2.2344827253766923
-0.7450417360292008,2.2542056400877217
-0.7450417360292008,2.224700665369629
-0.7450417360292008,2.245545418999367
-0.7450417360292008,2.2024141024045782
-0.24834724534306574,2.1891743338899197
0.0,2.1998164939488865
0.7450417360291972,2.226715617824495
1.2417362267153287,2.171225472075639
1.9867779627445294,2.2034144024259086
2.73181969877373,2.2182494228886864
2.980166944116796,2.2772422322966492
2.9801669441167964,2.291985212681518
3.7252086801459963,2.231586703947069
3.973555925489063,2.241217815686423
4.4702504161751975,2.2957181841741408
4.9669449068613325,2.1687886880133798
4.9669449068613325,2.2157255656926136
4.9669449068613325,2.2313512766571204
4.9669449068613325,2.2234359180551095
4.221903170832132,2.437134340110103
3.4768614348029274,2.2181599468042537
3.2285141894598617,2.1477752621544544
1.9867779627445294,2.229850741501639
1.4900834720583944,2.10851258285622
0.7450417360291937,2.0687945879235543
0.24834724534306218,2.1247046850313485
-0.4966944906861386,2.0859348926316783
-0.9933889813722772,2.0050616092707627
-1.2417362267153464,2.092897918491164
-1.4900834720584086,2.0116327618263194
-1.4900834720584086,2.075118742486689
-1.738430717401478,2.071195298539178
-1.98677796274454,2.1230677806753384
-1.7384307174014708,2.0953096557597872
-1.7384307174014708,2.0994019644313116
-1.7384307174014708,2.1090546810021324
-1.7384307174014708,2.103941362553385
-1.4900834720584086,2.210952356197201
