active,angle,s0,s1,s2,s3,s4,line_position
False,105.387,0,0,0,0,0,0
False,105.654,0,0,0,0,0,0
False,105.904,0,0,0,0,0,0
False,106.142,0,0,0,0,0,0
False,106.359,0,0,0,0,0,0
False,106.536,0,0,0,0,0,0
False,106.704,0,0,0,0,0,0
False,106.88,0,0,0,0,0,0
False,107.058,0,0,0,0,0,0
False,107.253,0,0,0,0,0,0
False,107.503,0,0,0,0,0,0
False,107.798,0,0,0,0,0,0
False,108.1,0,0,0,0,0,0
False,108.4,0,0,0,0,0,0
False,108.725,0,0,0,0,0,0
False,109.079,0,0,0,0,0,0
False,109.47,0,0,0,0,0,0
False,109.925,0,0,0,0,0,0
False,110.435,0,0,0,0,0,0
False,110.984,0,0,0,0,0,0
False,111.585,0,0,0,0,0,0
False,112.21,0,0,0,0,0,0
False,112.864,0,0,0,0,0,0
False,113.553,0,0,0,0,0,0
False,114.259,0,0,0,0,0,0
False,114.957,0,0,0,0,0,0
False,115.638,0,0,0,0,0,0
False,116.285,0,0,0,0,0,0
False,116.869,0,0,0,0,0,0
False,117.374,0,0,0,0,0,0
False,117.821,0,0,0,0,0,0
False,118.218,0,0,0,0,0,0
False,118.553,0,0,0,0,0,0
False,118.823,0,0,0,0,0,0
False,119.028,0,0,0,0,0,0
False,119.175,0,0,0,0,0,0
False,119.245,0,0,0,0,0,0
False,119.244,0,0,0,0,0,0
False,119.175,0,0,0,0,0,0
False,119.041,0,0,0,0,0,0
False,118.887,0,0,0,0,0,0
False,118.744,0,0,0,0,0,0
False,118.613,0,0,0,0,0,0
False,118.488,0,0,0,0,0,0
False,118.384,0,0,0,0,0,0
False,118.312,0,0,0,0,0,0
False,118.219,0,0,0,0,0,0
False,118.069,0,0,0,0,0,0
False,117.836,0,0,0,0,0,0
False,117.526,0,0,0,0,0,0
False,117.157,0,0,0,0,0,0
False,116.717,0,0,0,0,0,0
False,116.172,0,0,0,0,0,0
False,115.517,0,0,0,0,0,0
False,114.787,0,0,0,0,0,0
False,114.034,0,0,0,0,0,0
False,113.316,0,0,0,0,0,0
False,112.695,0,0,0,0,0,0
