active,state,x,y,theta
1,1,-68.03689258294521,-0.9238732447901108,0.009551817128579582
1,1,-70.27191582851354,-0.9452224273938086,0.009551817128579582
1,1,-73.50019682709588,-0.9837691963024617,0.014327725692869239
1,1,-76.23173613160647,-1.0229086204423423,0.014327725692869239
1,1,-77.72166666133953,-1.0442573972459135,0.014327725692869239
1,1,-79.83249185619141,-1.0669407636343335,0.0071638628464346845
1,1,-80.82585534684907,-1.0740572051792787,0.0071638628464346845
1,1,-82.44008329244242,-1.083694076001661,0.004775908564289787
1,1,-83.68181479864025,-1.0866592797053474,-6.938893903907228e-18
1,1,-84.67520378001251,-1.0866592797053474,-6.938893903907228e-18
1,1,-86.53780634988993,-1.0888831856534429,0.00238795428214489
1,1,-88.40037351601725,-1.1000026308513942,0.009551817128579445
1,1,-89.89038901306282,-1.1142354192538593,0.009551817128579445
1,1,-92.62201139647864,-1.1468519160227186,0.014327725692869239
1,1,-95.72597727935897,-1.1950346215703906,0.016715679975014136
1,1,-97.83658982234789,-1.2328390105992482,0.019103634257158896
1,1,-101.18858621976389,-1.3008858760836943,0.021491588539303656
1,1,-104.54041056744752,-1.3769369540991534,0.023879542821448416
1,1,-106.52662209436227,-1.4243757947086344,0.023879542821448416
1,1,-109.75438763829912,-1.4937562860234017,0.01910363425715876
1,1,-112.36161489728543,-1.5404558254119878,0.016715679975013865
1,1,-113.85149019913143,-1.5653624239539534,0.016715679975013865
1,1,-115.71386972885963,-1.5942720472825567,0.014327725692868968
1,1,-116.83136542025181,-1.60628088831172,0.007163862846434277
1,1,-117.20388310192163,-1.607615226808025,-2.7755575615628914e-16
1,1,-117.82474590470467,-1.605391329314183,-0.007163862846434832
1,1,-117.9489151609188,-1.6043535183743582,-0.009551817128579729
1,1,-118.07308158486362,-1.6030192001682155,-0.011939771410724626
1,1,-118.19724446850206,-1.601388382304462,-0.014327725692869523
1,1,-118.32140310381727,-1.599461074082555,-0.01671567997501442
1,1,-118.32140310381727,-1.599461074082555,-0.01671567997501442
1,1,-118.32140310381727,-1.599461074082555,-0.01671567997501442
1,1,-118.32140310381727,-1.599461074082555,-0.01671567997501442
1,1,-118.32140310381727,-1.599461074082555,-0.01671567997501442
1,1,-118.32140310381727,-1.599461074082555,-0.01671567997501442
1,1,-118.44555678281662,-1.5972372864926223,-0.019103634257159316
1,1,-118.56970479753573,-1.5947170322154207,-0.02149158853930421
1,1,-118.8179810024413,-1.5887871827748947,-0.026267497103594006
1,1,-119.06622605553763,-1.581671661016451,-0.0310434056678838
1,1,-119.19033513066174,-1.5776693226803644,-0.033431359950028695
1,1,-119.68675208045276,-1.5610672433487913,-0.033431359950028695
1,1,-120.0590495720844,-1.5481711630272978,-0.03581931423217359
1,1,-120.55546605008705,-1.5315690994741404,-0.031043405667883932
1,1,-121.0519561562797,-1.5173380559572411,-0.026267497103594273
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.42438037590436,-1.5088879522395136,-0.01910363425715972
1,1,-121.1760784462029,-1.5136319986153293,-0.01910363425715972
1,1,-121.05192476720354,-1.515855786205262,-0.016715679975014823
1,1,-120.55529966658821,-1.524157985719251,-0.016715679975014823
1,1,-119.81033510972725,-1.534832363976233,-0.011939771410725166
1,1,-119.18950299000318,-1.5415039550069467,-0.009551817128580406
1,1,-117.57530265921942,-1.554995497224669,-0.0071638628464355085
1,1,-115.34020506611746,-1.5656702001225582,-0.0023879542821458512
1,1,-113.60177930526268,-1.5698214892530546,-0.0023879542821458512
1,1,-110.37326818414182,-1.5698214892530546,0.002387954282143806
1,1,-106.7722570832908,-1.5569228592713247,0.004775908564288703
1,1,-104.53715736597837,-1.5462481462283295,0.004775908564288703
1,1,-100.81199117045767,-1.5284569578233376,0.004775908564288703
