-2074,-1085,1765
-1886,-570,2607
-2017,3,2775
-2312,910,2582
-2624,1219,1948
-2880,1191,1622
-3043,1000,983
-3006,1277,940
-2695,2054,1225
-2420,2445,1351
-2461,2394,1025
-2869,1826,578
-3002,1483,314
-2958,751,-90
-2813,215,-164
-2700,-169,-67
-2458,-647,62
-2434,-841,649
-2348,-914,1463
-1925,-1078,2177
-1925,-1078,2177
-1815,-953,2428
-2139,-354,2434
-1780,409,3118
-1083,987,3599
-1074,1293,3572
-1678,2006,2760
-2255,2391,1713
-2551,2300,309
-2594,1969,-279
-2117,1465,-917
-2011,1003,-1106
-2144,190,-888
-1907,-565,-691
-1482,-1154,-336
-1464,-1254,-211
-1753,-1298,213
-2188,-1137,735
-2143,-1192,974
-1879,-1288,1717
-1690,-1250,2163
-1305,-762,3212
-996,-197,3676
-459,658,4034
157,976,4280
252,1531,4132
6,1877,3939
-101,2204,3719
-257,2535,3443
-440,2902,2925
-363,3142,2639
-110,3311,2459
402,3472,2258
773,3546,1898
707,3659,1475
463,3611,973
35,3430,166
149,3103,-418
480,2623,-811
662,2244,-1019
833,1945,-1170
705,1567,-1309
825,1151,-1415
1006,614,-1337
1237,90,-1206
1716,-393,-891
2051,-534,-679
1836,-563,-753
2225,-698,-515
2183,-918,-352
1961,-1267,-283
1567,-1589,-75
1350,-1871,109
1145,-2135,528
1131,-2327,972
681,-2382,1966
271,-2003,2956
-253,-1395,3440
-811,-563,3593
-1477,117,3278
-2025,774,2846
-2319,1341,2440
-2120,1729,2496
-1556,2264,2737
-1035,2675,2784
-631,2942,2674
-250,3110,2635
111,3218,2638
312,3251,2654
555,3204,2798
703,3220,2674
368,3359,2331
109,3508,1711
-13,3573,1158
189,3511,624
101,3237,-42
-646,2622,-862
-885,1889,-1290
-820,991,-1511
-444,-142,-1390
-129,-1134,-853
-158,-1788,-195
-227,-2073,531
-909,-1820,413
-1472,-1675,907
-2277,-853,1288
-2760,-45,1182
-2952,731,1005
-2908,1544,716
-2683,2164,705
-2462,2480,783
-2521,2466,581
-2317,2481,52
-1866,2737,-219
-1707,3004,259
-1504,3197,652
-1652,3061,353
-1961,2727,8
-2389,2159,-270
-2183,1418,-946
-1338,1114,-1345
-1132,980,-1349
-1351,835,-1374
-1664,208,-1146
-1826,-404,-776
-1937,-804,-304
-2229,-271,-507
-2314,472,-839
-2610,592,-410
-2909,754,135
-2916,570,111
-2656,448,-286
-2775,294,-96
-2896,425,196
-2935,531,397
-2995,566,311
-2917,663,-27
-2916,931,-57
-2786,1118,-323
-2845,1035,-277
-2918,842,0
-2862,725,-180
-2870,672,-214
-2874,503,-176
-2885,427,-112
-2858,315,-66
-2781,256,-63
-2740,68,-77
-2664,-126,-58
