raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
595,-2314,2599,-4480,16993,-2342
876,-1861,3597,-5911,13989,-5750
1237,-1051,4304,-7373,7918,-9265
1858,-411,4635,-5528,7961,-15040
1490,-70,4559,-7992,4381,-17416
1101,491,4573,-6230,1518,-13958
848,1211,4461,-6956,-3035,-13751
666,1683,4237,-2770,-3614,-14603
158,2036,3922,-814,-3091,-15127
-558,2379,3480,11900,-7473,-28858
-981,2602,2991,4442,-6866,-10994
-757,2859,2810,-817,-15580,-16311
-803,3226,2172,1591,-13703,-6482
-879,3377,1200,588,-14847,-4146
-1061,3132,1,-541,-9505,6357
-1092,1750,-1246,-2951,1110,10355
-475,409,-1416,-4686,3352,14064
-186,-334,-1167,-5919,9530,13958
360,-1079,-771,-8140,7477,11148
968,-1856,-43,-11981,20228,7980
557,-2414,1163,-412,13493,-2253
517,-2412,1723,-2171,13706,-9925
704,-2417,2280,1464,16755,2921
903,-1883,3480,1967,8773,-10012
1086,-1004,4258,-841,-2533,-20336
2077,361,4637,-9199,-9693,-10207
3699,1807,3404,-7919,-11254,-13995
2914,2618,3033,-80,-14165,-10101
2150,3254,1926,-2208,-7966,-147
1838,3250,690,-5313,-3544,12312
2344,2576,41,-3014,-9685,13831
2481,2596,216,-5462,-12618,9952
2416,2428,-4,-6275,-3969,15186
2121,2500,-131,1316,-10437,11280
2100,1810,-626,-5351,-6720,14062
1879,1377,-846,-1907,3856,15845
1525,239,-1088,-6,7603,14374
944,-854,-873,4780,16534,11691
618,-1773,-106,5418,17701,41
644,-2146,591,4728,15283,-1220
732,-2401,1266,3814,16790,-5004
899,-2446,1799,7532,20528,-5353
1045,-2415,2325,2329,15179,-7683
1176,-2353,2725,739,12978,-7891
1635,-1953,3532,-331,6137,-16726
2680,-681,4467,-6655,-2164,-14172
3445,848,4274,-6052,-10038,-13831
3615,2194,3051,-6851,-11803,-1008
3343,2664,2165,-7924,-16165,5744
2847,2942,1861,-5865,-16394,5087
2063,3288,1390,-8288,-18465,11567
1056,3358,501,-2338,-11214,9646
219,2900,-605,2249,-3530,13992
113,1704,-1320,2211,7944,11768
1550,52,-1046,-5992,19752,13136
2417,-627,-497,-8503,9903,22766
1770,-1181,-470,-1498,17299,2338
1253,-1637,-291,3069,13308,5139
1277,-1870,116,1709,17170,5136
1239,-2205,592,-4141,18837,4614
778,-2427,1231,1163,17755,-1972
868,-2404,2415,665,13813,-11884
