angle,s0,s1,s2,s3,s4
0.9976520612623122,0,0,0,0,0
0.9907890292284459,0,0,0,0,0
0.9837899441190866,0,0,0,0,0
0.9766711066973502,0,0,0,0,0
0.9696126721725655,0,0,0,0,0
0.9629104735303319,0,0,0,0,0
0.9566385506391637,0,0,0,0,0
0.9505726537871402,0,0,0,0,0
0.9445796979105321,0,0,0,0,0
0.9384265014352273,0,0,0,0,0
0.932282798681811,0,0,0,0,0
0.9262931778305905,0,0,0,0,0
0.9206250759190608,0,0,0,0,0
0.9152855785777718,0,0,0,0,0
0.9101403659499419,0,0,0,0,0
0.9051485193761049,0,0,0,0,0
0.9002652173275766,0,0,0,0,0
0.8955520790505481,0,0,0,0,0
0.8910268862058994,0,0,0,0,0
0.8866668735534502,0,0,0,0,0
0.8823055108387916,0,0,0,0,0
0.877881921731588,0,0,0,0,0
0.8733988099683121,0,0,0,0,0
0.8688975970720704,0,0,4,0,0
0.8645029312731543,0,0,80,0,0
0.8601698576350398,0,0,96,0,0
0.8557358595380814,0,0,132,0,0
0.8510462761708287,0,0,192,0,0
0.8461276592312231,0,0,224,0,0
0.8409165083111748,0,0,252,0,0
0.83558941544626,0,0,304,0,0
0.8302540955325132,0,0,340,0,0
0.8249220944501218,0,0,396,0,0
0.8194684875914166,0,0,428,0,0
0.8137061515268653,0,0,488,0,0
0.8075985634272884,0,0,516,0,0
0.8010298493447267,0,0,552,64,0
0.7940137979608668,0,52,604,112,0
0.7866279926310212,0,116,660,176,0
0.7789375011931121,0,180,692,212,0
0.7711419162261912,0,240,752,272,0
0.7633823046088377,0,300,816,328,0
0.7556648974878118,0,352,844,384,0
0.7480422457867041,0,416,908,448,0
0.7402911684292103,0,472,960,504,0
0.7322086675156979,0,504,988,532,0
0.7238264804897804,0,560,1040,592,0
0.7151403866704864,0,624,1080,652,20
0.7062854738926093,0,688,1112,688,56
0.6973791185836135,0,740,1172,772,148
0.6885887918570184,72,804,1200,804,204
0.6799708058215421,100,836,1228,836,260
0.6714539195632011,184,888,1276,888,312
0.6630682877805354,252,924,1316,952,384
0.6547418605113463,284,948,1344,980,444
0.6465414013741644,376,1004,1376,1004,504
0.6385261427372796,436,1040,1404,1040,564
0.6308010945832152,464,1076,1432,1076,600
0.6233843279347031,524,1132,1464,1104,620
0.6164842606102554,552,1156,1492,1156,680
0.6097201286063476,616,1188,1524,1188,720
0.6030063597349747,656,1220,1532,1192,752
0.5961076587099191,672,1244,1548,1216,768
0.5889854041936066,736,1276,1580,1244,832
0.5815637050675596,764,1280,1608,1280,860
0.5738822324053076,800,1308,1636,1308,896
0.5660387478506463,856,1340,1640,1340,924
0.5583513588612266,892,1368,1668,1336,960
0.550906687973936,924,1400,1672,1368,992
0.5439743579102536,988,1428,1704,1400,1052
0.5373076816189265,1008,1420,1728,1420,1072
0.5309822444443789,1040,1456,1732,1456,1104
0.524483361563316,1076,1492,1764,1456,1140
0.5179011384143725,1104,1488,1756,1488,1144
0.5110401825771662,1136,1516,1788,1488,1168
0.5041721832053451,1160,1548,1816,1516,1228
0.497358196010339,1168,1544,1812,1512,1232
0.4907789953470658,1224,1572,1844,1544,1256
0.48465401608129804,1220,1580,1848,1580,1292
0.47891479442387164,1244,1604,1844,1572,1316
0.4734115965293987,1292,1608,1880,1572,1324
0.46804411016330616,1312,1632,1872,1604,1344
0.4625011539734573,1320,1632,1872,1600,1352
0.4566475332059666,1344,1660,1900,1632,1376
0.450432710635532,1348,1664,1904,1632,1412
0.4438717863330825,1376,1692,1932,1660,1440
0.4371653000396348,1408,1692,1936,1660,1440
0.43024038695595396,1440,1724,1932,1692,1472
0.42329621527522676,1468,1720,1960,1688,1500
0.4161704344586866,1468,1752,1968,1724,1536
0.40888365805574983,1496,1748,1964,1720,1564
0.4013248645508075,1532,1780,1972,1752,1564
0.3936006274949456,1564,1788,1996,1756,1596
0.38572952989218195,1592,1816,2000,1784,1624
0.3779487066949208,1592,1816,2032,1784,1624
0.3701788138643291,1628,1848,2032,1816,1660
0.36264202151742186,1656,1852,2032,1812,1688
0.3548261309079484,1656,1848,2028,1820,1688
0.34649152388795584,1680,1868,2052,1836,1712
0.3374351645273382,1716,1880,2060,1848,1716
