calib_mag_orient,ref_orient,orient
263,0,0.007163862846434962
264,0,0.0023879542821451678
282,0,-0.0023879542821446265
282,0,-0.004775908564289387
283,0,-0.007163862846434284
283,0,-0.009551817128579181
283,0,-0.016715679975013872
291,0,-0.016715679975013872
276,0,-0.016715679975013872
276,0,-0.019103634257158768
274,0,-0.014327725692868973
269,0,-0.014327725692868973
267,0,-0.011939771410724076
269,0,-0.011939771410724076
269,0,-0.00955181712857918
264,0,-0.007163862846434282
262,0,-0.0023879542821444878
262,0,-0.0023879542821444878
262,0,4.0939474033052647e-16
267,0,4.0939474033052647e-16
267,0,4.0939474033052647e-16
267,0,-0.0023879542821444192
241,0,-0.004775908564289248
264,0,-0.009551817128578974
247,0,-0.011939771410723872
243,0,-0.011939771410723872
256,0,-0.014327725692868769
248,0,-0.016715679975013664
246,0,-0.014327725692868767
268,0,-0.014327725692868767
238,0,-0.01193977141072394
239,0,0.004775908564290169
250,0,0.016715679975014552
256,0,0.026267497103594037
266,0,0.0286554513857389
270,0,0.0286554513857389
243,0,0.028655451385738894
252,0,0.026267497103594023
277,0,0.02149158853930428
280,0,0.011939771410724795
269,0,0.0023879542821453065
249,0,0.0023879542821453065
246,0,4.349819116011844e-16
251,0,4.349819116011844e-16
254,0,4.349819116011844e-16
255,0,4.349819116011844e-16
254,0,4.349819116011844e-16
258,0,0.0023879542821453065
264,0,-0.0023879542821444366
269,0,-0.004775908564289312
267,0,-0.007163862846434183
259,0,-0.009551817128579054
252,0,-0.01671567997501366
255,0,-0.014327725692868764
263,0,-0.014327725692868764
239,0,-0.014327725692868764
241,0,-0.004775908564289244
267,0,0.0023879542821453785
256,0,0.0023879542821453785
257,0,0.004775908564290207
251,0,0.009551817128579864
241,0,0.009551817128579864
239,0,0.009551817128579864
235,0,0.00477590856429007
266,0,0.002387954282145173
262,0,0.002387954282145173
261,0,0.002387954282145173
260,0,2.7582103268031233e-16
264,0,-0.009551817128579176
261,0,-0.01432772569286897
268,0,-0.016715679975013865
260,0,-0.016715679975013865
293,0,-0.014327725692868968
276,0,-0.01910363425715876
287,0,-0.01910363425715876
277,0,-0.019103634257158626
280,0,-0.016715679975013727
274,0,-0.011939771410724206
274,0,-0.009551817128579582
262,0,-0.004775908564289787
255,0,-0.004775908564289787
274,0,-0.004775908564289787
247,0,-0.004775908564289787
258,0,-0.004775908564289787
273,0,-0.0071638628464346845
266,0,-0.0071638628464346845
276,0,-0.004775908564289787
277,0,-0.0023879542821451634
279,0,-0.004775908564289787
280,0,-0.004775908564289787
278,0,-0.004775908564289787
277,0,-0.004775908564289787
273,0,-0.004775908564289787
265,0,-0.004775908564289787
274,0,-0.007163862846434411
262,0,-0.004775908564289514
271,0,-0.004775908564289514
