raw_mag_x,raw_mag_y,raw_mag_z
1788,497,-394
2302,-147,-245
2302,-147,-245
2302,-147,-245
2302,-147,-245
2302,-147,-245
2302,-147,-245
2302,-147,-245
2521,-932,-169
2521,-932,-169
2521,-932,-169
2521,-932,-169
2521,-932,-169
2521,-932,-169
2521,-932,-169
2603,-1726,-134
2603,-1726,-134
2603,-1726,-134
2603,-1726,-134
2603,-1726,-134
2603,-1726,-134
2603,-1726,-134
2387,-2248,-93
2387,-2248,-93
2387,-2248,-93
2387,-2248,-93
2387,-2248,-93
2387,-2248,-93
2387,-2248,-93
2373,-2668,474
2373,-2668,474
2373,-2668,474
2373,-2668,474
2373,-2668,474
2373,-2668,474
2373,-2668,474
1937,-3138,86
1937,-3138,86
1937,-3138,86
1937,-3138,86
1937,-3138,86
1937,-3138,86
1937,-3138,86
1590,-3475,243
1590,-3475,243
1590,-3475,243
1590,-3475,243
1590,-3475,243
1590,-3475,243
1590,-3475,243
918,-3900,407
918,-3900,407
918,-3900,407
918,-3900,407
918,-3900,407
918,-3900,407
918,-3900,407
1039,-3885,486
1039,-3885,486
1039,-3885,486
1039,-3885,486
1039,-3885,486
1039,-3885,486
1039,-3885,486
910,-3949,572
910,-3949,572
910,-3949,572
910,-3949,572
910,-3949,572
910,-3949,572
910,-3949,572
914,-4044,1234
914,-4044,1234
914,-4044,1234
914,-4044,1234
914,-4044,1234
914,-4044,1234
914,-4044,1234
638,-4072,1729
638,-4072,1729
638,-4072,1729
638,-4072,1729
638,-4072,1729
638,-4072,1729
638,-4072,1729
638,-4072,1729
254,-4080,1906
254,-4080,1906
254,-4080,1906
254,-4080,1906
254,-4080,1906
254,-4080,1906
254,-4080,1906
-195,-4004,2178
-195,-4004,2178
-195,-4004,2178
-195,-4004,2178
-195,-4004,2178
-195,-4004,2178
-195,-4004,2178
-644,-3862,2227
-644,-3862,2227
-644,-3862,2227
-644,-3862,2227
-644,-3862,2227
-644,-3862,2227
-644,-3862,2227
-1104,-3683,2274
-1104,-3683,2274
-1104,-3683,2274
-1104,-3683,2274
-1104,-3683,2274
-1104,-3683,2274
-1104,-3683,2274
-1510,-3354,2788
-1510,-3354,2788
-1510,-3354,2788
-1510,-3354,2788
-1510,-3354,2788
-1510,-3354,2788
-1510,-3354,2788
-2050,-2919,2444
-2050,-2919,2444
-2050,-2919,2444
-2050,-2919,2444
-2050,-2919,2444
-2050,-2919,2444
-2050,-2919,2444
-2425,-2317,2591
-2425,-2317,2591
-2425,-2317,2591
-2425,-2317,2591
-2425,-2317,2591
-2425,-2317,2591
-2425,-2317,2591
-2416,-1744,2777
-2416,-1744,2777
-2416,-1744,2777
-2416,-1744,2777
-2416,-1744,2777
-2416,-1744,2777
-2416,-1744,2777
-2379,-1174,2957
-2379,-1174,2957
-2379,-1174,2957
-2379,-1174,2957
-2379,-1174,2957
-2379,-1174,2957
-2379,-1174,2957
-2015,-712,3188
-2015,-712,3188
-2015,-712,3188
-2015,-712,3188
-2015,-712,3188
-2015,-712,3188
-2015,-712,3188
-1424,-303,3452
-1424,-303,3452
-1424,-303,3452
-1424,-303,3452
-1424,-303,3452
-1424,-303,3452
-1424,-303,3452
-873,180,3466
-873,180,3466
-873,180,3466
-873,180,3466
-873,180,3466
-873,180,3466
-873,180,3466
-264,403,3494
-264,403,3494
-264,403,3494
-264,403,3494
-264,403,3494
-264,403,3494
-264,403,3494
273,420,3478
273,420,3478
273,420,3478
273,420,3478
273,420,3478
273,420,3478
273,420,3478
531,573,3401
531,573,3401
531,573,3401
531,573,3401
531,573,3401
531,573,3401
531,573,3401
740,962,3037
740,962,3037
740,962,3037
740,962,3037
740,962,3037
740,962,3037
740,962,3037
738,1508,2796
738,1508,2796
738,1508,2796
738,1508,2796
738,1508,2796
738,1508,2796
738,1508,2796
212,1779,1558
212,1779,1558
212,1779,1558
212,1779,1558
212,1779,1558
212,1779,1558
